"","name","attendances_at_ane","patients_waiting_over_4hrs_tobe_admitted","patients_seen_in_four_hours","emergency_admissions","trolley_wait_4_to_12hrs","ambulances_queuing","planned_operations","beds_blocked","beds_closed_dueto_norovirus"
"RTD","The Newcastle Upon Tyne Hospitals NHS Foundation Trust",2083,242,88.4,525,0,0,5,158,118
"RTE","Gloucestershire Hospitals NHS Foundation Trust",2161,570,73.6,761,0,40,20,66,409
"RTF","Northumbria Healthcare NHS Foundation Trust",2588,234,91,1056,0,37,7,0,24
"RTG","Derby Hospitals NHS Foundation Trust",2378,85,96.4,717,0,133,0,231,44
"RTH","Oxford University Hospitals NHS Trust",2204,362,83.6,627,0,34,80,661,0
"RTK","Ashford And St Peter's Hospitals NHS Foundation Trust",1708,184,89.2,436,0,46,9,70,0
"RTP","Surrey And Sussex Healthcare NHS Trust",1566,169,89.2,525,0,59,2,85,6
"RTR","South Tees Hospitals NHS Foundation Trust",2136,203,90.5,441,0,22,11,258,130
"RTX","University Hospitals Of Morecambe Bay NHS Foundation Trust",1574,151,90.4,507,0,86,4,96,80
"RVJ","North Bristol NHS Trust",1560,252,83.8,567,0,46,6,615,0
"RVR","Epsom And St Helier University Hospitals NHS Trust",2472,140,94.3,637,0,25,6,87,0
"RVV","East Kent Hospitals University NHS Foundation Trust",2615,389,85.1,770,0,68,8,210,0
"RVW","North Tees And Hartlepool NHS Foundation Trust",1251,92,92.6,345,0,1,1,59,12
"RVY","Southport And Ormskirk Hospital NHS Trust",873,173,80.2,357,0,69,1,39,0
"RW3","Central Manchester University Hospitals NHS Foundation Trust",2758,164,94.1,854,0,33,12,153,0
"RW6","Pennine Acute Hospitals NHS Trust",4650,352,92.4,1242,0,23,19,128,10
"RWA","Hull And East Yorkshire Hospitals NHS Trust",2097,565,73.1,665,0,207,33,108,18
"RWD","United Lincolnshire Hospitals NHS Trust",2688,371,86.2,747,0,238,40,232,2
"RWE","University Hospitals Of Leicester NHS Trust",2295,292,87.3,781,0,207,14,130,0
"RWF","Maidstone And Tunbridge Wells NHS Trust",2300,169,92.7,680,0,9,8,122,27
"RWG","West Hertfordshire Hospitals NHS Trust",1590,279,82.5,591,0,115,6,228,36
"RWH","East And North Hertfordshire NHS Trust",1786,143,92,568,0,36,14,76,112
"RWJ","Stockport NHS Foundation Trust",1577,320,79.7,550,0,28,15,50,0
"RWP","Worcestershire Acute Hospitals NHS Trust",2150,563,73.8,649,0,167,28,518,128
"RWW","Warrington And Halton Hospitals NHS Foundation Trust",1541,227,85.3,382,0,18,2,96,122
"RWY","Calderdale And Huddersfield NHS Foundation Trust",2542,125,95.1,524,0,16,9,169,48
"RX1","Nottingham University Hospitals NHS Trust",3160,586,81.5,881,0,254,15,263,330
"RXC","East Sussex Healthcare NHS Trust",1911,268,86,588,0,0,0,152,6
"RXF","Mid Yorkshire Hospitals NHS Trust",4038,549,86.4,983,0,159,0,240,84
"RXH","Brighton And Sussex University Hospitals NHS Trust",2427,513,78.9,915,0,122,12,118,227
"RXK","Sandwell And West Birmingham Hospitals NHS Trust",2879,331,88.5,799,0,70,13,181,45
"RXL","Blackpool Teaching Hospitals NHS Foundation Trust",1404,235,83.3,377,1,35,9,113,140
"RXN","Lancashire Teaching Hospitals NHS Foundation Trust",2157,241,88.8,448,0,0,0,257,0
"RXP","County Durham And Darlington NHS Foundation Trust",2303,484,79,697,0,93,4,54,40
"RXQ","Buckinghamshire Healthcare NHS Trust",1347,215,84,536,0,13,5,79,0
"RXR","East Lancashire Hospitals NHS Trust",2051,206,90,772,0,112,10,242,0
"RXW","Shrewsbury And Telford Hospital NHS Trust",1987,216,89.1,407,0,37,8,259,60
"RYJ","Imperial College Healthcare NHS Trust",2144,484,77.4,678,0,0,97,74,4
"RYR","Western Sussex Hospitals NHS Foundation Trust",2305,107,95.4,706,0,18,10,135,14
