"name","patients_seen_in_four_hours","attendances_at_ane","emergency_admissions_via_type_1_ae","analysisdate"
"Shrewsbury And Telford Hospital NHS Trust",91.8,1942,440,"2011.03.27"
"South WarWiCkshire NHS Foundation Trust",99.2,1084,284,"2011.03.27"
"The Dudley Group Of Hospitals NHS Foundation Trust",96.6,2076,512,"2011.03.27"
"The Royal Wolverhampton Hospitals NHS Trust",98.9,1932,280,"2011.03.27"
"University Hospital Birmingham NHS Foundation Trust",94.8,1658,475,"2011.03.27"
"University Hospital Of North Staffordshire NHS Trust",90.7,2247,691,"2011.03.27"
"University Hospitals Coventry And WarWiCkshire NHS Trust",92.7,2970,837,"2011.03.27"
"Walsall Hospitals NHS Trust",98,1521,329,"2011.03.27"
"Worcestershire Acute Hospitals NHS Trust",93.1,2391,530,"2011.03.27"
"Basildon And Thurrock University Hospitals NHS Foundation Trust",98.1,1978,323,"2011.03.27"
"Bedford Hospital NHS Trust",98.3,1365,279,"2011.03.27"
"Cambridge University Hospitals NHS Foundation Trust",90.5,1861,599,"2011.03.27"
"Colchester Hospital University NHS Foundation Trust",98.1,1398,329,"2011.03.27"
"East And North Hertfordshire NHS Trust",97.7,2596,499,"2011.03.27"
"Hinchingbrooke Health Care NHS Trust",99,776,142,"2011.03.27"
"IpsWiCh Hospital NHS Trust",93.4,1210,364,"2011.03.27"
"James Paget University Hospitals NHS Foundation Trust",96.5,1263,186,"2011.03.27"
"Luton And Dunstable Hospital NHS Foundation Trust",97.6,1345,373,"2011.03.27"
"Mid Essex Hospital Services NHS Trust",84.5,1459,433,"2011.03.27"
"Norfolk And NorWiCh University Hospitals NHS Foundation Trust",97.1,1751,435,"2011.03.27"
"Peterborough And Stamford Hospitals NHS Foundation Trust",97.6,1419,453,"2011.03.27"
"Southend University Hospital NHS Foundation Trust",96.7,1751,318,"2011.03.27"
"The Princess Alexandra Hospital NHS Trust",95.3,1562,436,"2011.03.27"
"The Queen Elizabeth Hospital King'S Lynn NHS Trust",94,1068,319,"2011.03.27"
"West Hertfordshire Hospitals NHS Trust",97.9,1493,353,"2011.03.27"
"West Suffolk Hospitals NHS Trust",99.6,1122,312,"2011.03.27"
"Barking, Havering And Redbridge University Hospitals NHS Trust",85.1,3508,1097,"2011.03.27"
"Barnet And Chase Farm Hospitals NHS Trust",97.6,3020,591,"2011.03.27"
"Barts And The London NHS Trust",93.3,2584,510,"2011.03.27"
"Chelsea And Westminster Hospital NHS Foundation Trust",97.6,2345,317,"2011.03.27"
"Croydon Health Services NHS Trust",96.5,2292,436,"2011.03.27"
"Ealing Hospital NHS Trust",94.2,1649,461,"2011.03.27"
"Epsom And St Helier University Hospitals NHS Trust",96.8,2749,623,"2011.03.27"
"Guy'S And St Thomas' NHS Foundation Trust",94.4,2780,490,"2011.03.27"
"Homerton University Hospital NHS Foundation Trust",94.8,1624,320,"2011.03.27"
"Imperial College Healthcare NHS Trust",95.7,2677,907,"2011.03.27"
"King'S College Hospital NHS Foundation Trust",96.5,2486,474,"2011.03.27"
"Kingston Hospital NHS Trust",98,2057,318,"2011.03.27"
"Lewisham Healthcare NHS Trust",98.9,2251,347,"2011.03.27"
"Newham University Hospital NHS Trust",89.8,1341,420,"2011.03.27"
"North Middlesex University Hospital NHS Trust",94.5,2362,260,"2011.03.27"
"North West London Hospitals NHS Trust",95.6,3412,695,"2011.03.27"
"Royal Free Hampstead NHS Trust",95.8,1702,400,"2011.03.27"
"South London Healthcare NHS Trust",95.8,3563,930,"2011.03.27"
"St George'S Healthcare NHS Trust",95.7,2456,660,"2011.03.27"
"The Hillingdon Hospital NHS Trust",97.6,1652,441,"2011.03.27"
"The Whittington Hospital NHS Trust",96,2019,310,"2011.03.27"
"University College London Hospitals NHS Foundation Trust",98.6,2069,321,"2011.03.27"
"West Middlesex University Hospital NHS Trust",98,2183,373,"2011.03.27"
"Whipps Cross University Hospital NHS Trust",97.4,2171,622,"2011.03.27"
"Ashford And St Peter'S Hospitals NHS Foundation Trust",91.6,1804,426,"2011.03.27"
"Brighton And Sussex University Hospitals NHS Trust",94.5,2863,657,"2011.03.27"
"Dartford And Gravesham NHS Trust",92,1939,421,"2011.03.27"
"East Kent Hospitals University NHS Foundation Trust",96.6,2682,661,"2011.03.27"
"East Sussex Hospitals NHS Trust",96.1,1989,453,"2011.03.27"
"Frimley Park Hospital NHS Foundation Trust",95.1,1906,450,"2011.03.27"
"Maidstone And Tunbridge Wells NHS Trust",99.4,2341,741,"2011.03.27"
"Medway NHS Foundation Trust",97.5,1758,281,"2011.03.27"
"Royal Surrey County Hospital NHS Foundation Trust",95,1250,255,"2011.03.27"
"Surrey And Sussex Healthcare NHS Trust",60.8,1026,379,"2011.03.27"
"Western Sussex Hospitals NHS Trust",97.7,2475,645,"2011.03.27"
"Basingstoke And North Hampshire NHS Foundation Trust",95.2,893,197,"2011.03.27"
"Buckinghamshire Healthcare NHS Trust",96.6,2281,356,"2011.03.27"
"Heatherwood And Wexham Park Hospitals NHS Foundation Trust",92.9,1854,501,"2011.03.27"
"Isle Of Wight NHS PCT",98.9,833,134,"2011.03.27"
"Milton Keynes Hospital NHS Foundation Trust",99.6,1463,327,"2011.03.27"
"Oxford Radcliffe Hospitals NHS Trust",98.7,2231,544,"2011.03.27"
"Portsmouth Hospitals NHS Trust",95.5,1879,623,"2011.03.27"
"Royal Berkshire NHS Foundation Trust",95.3,1652,351,"2011.03.27"
"Southampton University Hospitals NHS Trust",90.9,1852,409,"2011.03.27"
"Winchester And Eastleigh Healthcare NHS Trust",92.8,901,197,"2011.03.27"
"Dorset County Hospital NHS Foundation Trust",99,796,194,"2011.03.27"
"Gloucestershire Hospitals NHS Foundation Trust",90.9,2347,683,"2011.03.27"
"Great Western Hospitals NHS Foundation Trust",93,1407,311,"2011.03.27"
"North Bristol NHS Trust",98.2,1384,295,"2011.03.27"
"Northern Devon Healthcare NHS Trust",96.7,761,216,"2011.03.27"
"Plymouth Hospitals NHS Trust",96.6,1772,452,"2011.03.27"
"Poole Hospital NHS Foundation Trust",96,1237,360,"2011.03.27"
"Royal Cornwall Hospitals NHS Trust",95.3,1369,445,"2011.03.27"
"Royal Devon And Exeter NHS Foundation Trust",92.8,1935,484,"2011.03.27"
"Royal United Hospital Bath NHS Trust",96.2,1397,519,"2011.03.27"
"Salisbury NHS Foundation Trust",98.7,827,239,"2011.03.27"
"South Devon Healthcare NHS Foundation Trust",97.4,1379,433,"2011.03.27"
"Taunton And Somerset NHS Foundation Trust",94.8,1105,306,"2011.03.27"
"The Royal Bournemouth And Christchurch Hospitals NHS Foundation Trust",98,1000,391,"2011.03.27"
"University Hospitals Bristol NHS Foundation Trust",89.1,2072,566,"2011.03.27"
"Weston Area Health NHS Trust",93.8,989,158,"2011.03.27"
"Yeovil District Hospital NHS Foundation Trust",96.9,902,274,"2011.03.27"
"City Hospitals Sunderland NHS Foundation Trust",91.3,1479,496,"2011.04.03"
"County Durham And Darlington NHS Foundation Trust",96.4,2254,713,"2011.04.03"
"Gateshead Health NHS Foundation Trust",97.6,1244,295,"2011.04.03"
"North Tees And Hartlepool NHS Foundation Trust",97.3,2047,375,"2011.04.03"
"Northumbria Healthcare NHS Foundation Trust",94.7,2736,944,"2011.04.03"
"South Tees Hospitals NHS Foundation Trust",97.6,2562,605,"2011.04.03"
"South Tyneside NHS Foundation Trust",96,1235,293,"2011.04.03"
"The Newcastle Upon Tyne Hospitals NHS Foundation Trust",98.6,2202,487,"2011.04.03"
"Aintree University Hospitals NHS Foundation Trust",100,1696,541,"2011.04.03"
"Alder Hey Children'S NHS Foundation Trust",96.3,1328,328,"2011.04.03"
"Blackpool, Fylde And Wyre Hospitals NHS Foundation Trust",90.8,1996,428,"2011.04.03"
"Central Manchester University Hospitals NHS Foundation Trust",95.3,3566,698,"2011.04.03"
"Countess Of Chester Hospital NHS Foundation Trust",98.2,1344,361,"2011.04.03"
"East Cheshire NHS Trust",96,996,265,"2011.04.03"
"East Lancashire Hospitals NHS Trust",97.1,1043,701,"2011.04.03"
"Lancashire Teaching Hospitals NHS Foundation Trust",98.6,2591,495,"2011.04.03"
"Mid Cheshire Hospitals NHS Foundation Trust",95.7,1225,467,"2011.04.03"
"North Cumbria University Hospitals NHS Trust",94.5,1479,355,"2011.04.03"
"Pennine Acute Hospitals NHS Trust",95.1,6288,1325,"2011.04.03"
"Royal Bolton Hospital NHS Foundation Trust",91.5,2204,329,"2011.04.03"
"Royal Liverpool And Broadgreen University Hospitals NHS Trust",95.4,1771,526,"2011.04.03"
"Salford Royal NHS Foundation Trust",92.8,1721,490,"2011.04.03"
"Southport And Ormskirk Hospital NHS Trust",96.6,914,235,"2011.04.03"
"St Helens And Knowsley Hospitals NHS Trust",93,1791,622,"2011.04.03"
"Stockport NHS Foundation Trust",96.7,1793,452,"2011.04.03"
"Tameside Hospital NHS Foundation Trust",97.4,1554,339,"2011.04.03"
"Trafford Healthcare NHS Trust",93.9,797,132,"2011.04.03"
"University Hospital Of South Manchester NHS Foundation Trust",92.4,1788,594,"2011.04.03"
"University Hospitals Of Morecambe Bay NHS Foundation Trust",96.2,1694,439,"2011.04.03"
"Warrington And Halton Hospitals NHS Foundation Trust",93.9,1669,483,"2011.04.03"
"Wirral University Teaching Hospital NHS Foundation Trust",94.7,1800,521,"2011.04.03"
"Wrightington, Wigan And Leigh NHS Foundation Trust",96.7,1897,453,"2011.04.03"
"Airedale NHS Foundation Trust",98.3,1091,223,"2011.04.03"
"Barnsley Hospital NHS Foundation Trust",95.9,1584,385,"2011.04.03"
"Bradford Teaching Hospitals NHS Foundation Trust",94,2708,633,"2011.04.03"
"Calderdale And Huddersfield NHS Foundation Trust",96.4,2871,582,"2011.04.03"
"Doncaster And Bassetlaw Hospitals NHS Foundation Trust",94.7,2823,596,"2011.04.03"
"Harrogate And District NHS Foundation Trust",95.2,912,157,"2011.04.03"
"Hull And East Yorkshire Hospitals NHS Trust",95.3,2506,699,"2011.04.03"
"Leeds Teaching Hospitals NHS Trust",93.7,4070,1531,"2011.04.03"
"Mid Yorkshire Hospitals NHS Trust",90.4,4132,984,"2011.04.03"
"Northern Lincolnshire And Goole Hospitals NHS Foundation Trust",98,2265,473,"2011.04.03"
"Scarborough And North East Yorkshire Health Care NHS Trust",93.8,844,219,"2011.04.03"
"Sheffield Children'S NHS Foundation Trust",98.5,1162,129,"2011.04.03"
"Sheffield Teaching Hospitals NHS Foundation Trust",91,2169,555,"2011.04.03"
"The Rotherham NHS Foundation Trust",94.3,1637,381,"2011.04.03"
"York Teaching Hospital NHS Foundation Trust",93.7,1467,276,"2011.04.03"
"Chesterfield Royal Hospital NHS Foundation Trust",98,1350,372,"2011.04.03"
"Derby Hospitals NHS Foundation Trust",86.3,2352,681,"2011.04.03"
"Kettering General Hospital NHS Foundation Trust",88.1,1374,387,"2011.04.03"
"Northampton General Hospital NHS Trust",95.1,1474,415,"2011.04.03"
"Nottingham University Hospitals NHS Trust",92.5,3177,804,"2011.04.03"
"Sherwood Forest Hospitals NHS Foundation Trust",90.1,1772,498,"2011.04.03"
"United Lincolnshire Hospitals NHS Trust",94.7,3408,777,"2011.04.03"
"University Hospitals Of Leicester NHS Trust",88.9,2941,899,"2011.04.03"
"Birmingham Children'S Hospital NHS Foundation Trust",96.5,1041,266,"2011.04.03"
"Burton Hospitals NHS Foundation Trust",93.8,1234,340,"2011.04.03"
"George Eliot Hospital NHS Trust",94.7,1339,263,"2011.04.03"
"Heart Of England NHS Foundation Trust",92.8,4850,1428,"2011.04.03"
"Hereford Hospitals NHS Trust",94,967,226,"2011.04.03"
"Mid Staffordshire NHS Foundation Trust",77.3,1199,323,"2011.04.03"
"Sandwell And West Birmingham Hospitals NHS Trust",92.5,3552,678,"2011.04.03"
"Shrewsbury And Telford Hospital NHS Trust",94,1986,454,"2011.04.03"
"South WarWiCkshire NHS Foundation Trust",98.5,1097,281,"2011.04.03"
"The Dudley Group Of Hospitals NHS Foundation Trust",96.1,1968,499,"2011.04.03"
"The Royal Wolverhampton Hospitals NHS Trust",98.1,2100,313,"2011.04.03"
"University Hospital Birmingham NHS Foundation Trust",94.8,1699,449,"2011.04.03"
"University Hospital Of North Staffordshire NHS Trust",89.4,2194,655,"2011.04.03"
"University Hospitals Coventry And WarWiCkshire NHS Trust",89.7,2742,810,"2011.04.03"
"Walsall Hospitals NHS Trust",97.9,1489,286,"2011.04.03"
"Worcestershire Acute Hospitals NHS Trust",93.7,2426,552,"2011.04.03"
"Basildon And Thurrock University Hospitals NHS Foundation Trust",98.2,1874,354,"2011.04.03"
"Bedford Hospital NHS Trust",96.2,1417,310,"2011.04.03"
"Cambridge University Hospitals NHS Foundation Trust",91.6,1825,594,"2011.04.03"
"Colchester Hospital University NHS Foundation Trust",93.6,1574,388,"2011.04.03"
"East And North Hertfordshire NHS Trust",95.1,2725,585,"2011.04.03"
"Hinchingbrooke Health Care NHS Trust",98,767,149,"2011.04.03"
"IpsWiCh Hospital NHS Trust",95.9,1257,332,"2011.04.03"
"James Paget University Hospitals NHS Foundation Trust",97,1224,241,"2011.04.03"
"Luton And Dunstable Hospital NHS Foundation Trust",98.4,1415,411,"2011.04.03"
"Mid Essex Hospital Services NHS Trust",87.3,1425,399,"2011.04.03"
"Norfolk And NorWiCh University Hospitals NHS Foundation Trust",94.1,1766,458,"2011.04.03"
"Peterborough And Stamford Hospitals NHS Foundation Trust",97.5,1509,495,"2011.04.03"
"Southend University Hospital NHS Foundation Trust",96.4,1849,367,"2011.04.03"
"The Princess Alexandra Hospital NHS Trust",90.1,1639,450,"2011.04.03"
"The Queen Elizabeth Hospital King'S Lynn NHS Trust",95.8,1060,295,"2011.04.03"
"West Hertfordshire Hospitals NHS Trust",93.4,1646,360,"2011.04.03"
"West Suffolk Hospitals NHS Trust",99.8,1073,296,"2011.04.03"
"Barking, Havering And Redbridge University Hospitals NHS Trust",87,3611,1032,"2011.04.03"
"Barnet And Chase Farm Hospitals NHS Trust",98,3162,593,"2011.04.03"
"Barts And The London NHS Trust",93.6,2547,479,"2011.04.03"
"Chelsea And Westminster Hospital NHS Foundation Trust",99.2,2367,381,"2011.04.03"
"Croydon Health Services NHS Trust",96.9,2438,461,"2011.04.03"
"Ealing Hospital NHS Trust",98.8,1724,408,"2011.04.03"
"Epsom And St Helier University Hospitals NHS Trust",96.4,2841,572,"2011.04.03"
"Guy'S And St Thomas' NHS Foundation Trust",97.3,2631,542,"2011.04.03"
"Homerton University Hospital NHS Foundation Trust",97,1640,295,"2011.04.03"
"Imperial College Healthcare NHS Trust",96.6,2748,867,"2011.04.03"
"King'S College Hospital NHS Foundation Trust",96.7,2607,497,"2011.04.03"
"Kingston Hospital NHS Trust",96.1,2076,294,"2011.04.03"
"Lewisham Healthcare NHS Trust",98,2345,373,"2011.04.03"
"Newham University Hospital NHS Trust",92.1,1405,422,"2011.04.03"
"North Middlesex University Hospital NHS Trust",93.3,2244,251,"2011.04.03"
"North West London Hospitals NHS Trust",93.4,2738,770,"2011.04.03"
"Royal Free Hampstead NHS Trust",96.6,1684,375,"2011.04.03"
"South London Healthcare NHS Trust",97.9,3590,1065,"2011.04.03"
"St George'S Healthcare NHS Trust",96,2469,661,"2011.04.03"
"The Hillingdon Hospital NHS Trust",92,1660,456,"2011.04.03"
"The Whittington Hospital NHS Trust",96.4,1747,318,"2011.04.03"
"University College London Hospitals NHS Foundation Trust",93.9,2186,354,"2011.04.03"
"West Middlesex University Hospital NHS Trust",98.9,2209,363,"2011.04.03"
"Whipps Cross University Hospital NHS Trust",97.4,2087,606,"2011.04.03"
"Ashford And St Peter'S Hospitals NHS Foundation Trust",90.6,1815,428,"2011.04.03"
"Brighton And Sussex University Hospitals NHS Trust",88.9,2762,612,"2011.04.03"
"Dartford And Gravesham NHS Trust",89.7,1933,455,"2011.04.03"
"East Kent Hospitals University NHS Foundation Trust",95.3,2814,717,"2011.04.03"
"East Sussex Hospitals NHS Trust",93.6,2002,543,"2011.04.03"
"Frimley Park Hospital NHS Foundation Trust",95.1,2030,512,"2011.04.03"
"Maidstone And Tunbridge Wells NHS Trust",98.2,2455,755,"2011.04.03"
"Medway NHS Foundation Trust",97.7,1819,277,"2011.04.03"
"Royal Surrey County Hospital NHS Foundation Trust",91.1,1341,290,"2011.04.03"
"Surrey And Sussex Healthcare NHS Trust",58.1,988,391,"2011.04.03"
"Western Sussex Hospitals NHS Trust",95.2,2524,671,"2011.04.03"
"Basingstoke And North Hampshire NHS Foundation Trust",95.8,989,222,"2011.04.03"
"Buckinghamshire Healthcare NHS Trust",96,2134,370,"2011.04.03"
"Heatherwood And Wexham Park Hospitals NHS Foundation Trust",93.9,1825,412,"2011.04.03"
"Isle Of Wight NHS PCT",96.8,743,126,"2011.04.03"
"Milton Keynes Hospital NHS Foundation Trust",99.1,1443,326,"2011.04.03"
"Oxford Radcliffe Hospitals NHS Trust",98.4,2342,566,"2011.04.03"
"Portsmouth Hospitals NHS Trust",97,1899,658,"2011.04.03"
"Royal Berkshire NHS Foundation Trust",93.7,1563,279,"2011.04.03"
"Southampton University Hospitals NHS Trust",89,1843,406,"2011.04.03"
"Winchester And Eastleigh Healthcare NHS Trust",94.9,860,181,"2011.04.03"
"Dorset County Hospital NHS Foundation Trust",96.7,815,209,"2011.04.03"
"Gloucestershire Hospitals NHS Foundation Trust",90.1,2333,705,"2011.04.03"
"Great Western Hospitals NHS Foundation Trust",96.9,1408,332,"2011.04.03"
"North Bristol NHS Trust",93.9,1368,319,"2011.04.03"
"Northern Devon Healthcare NHS Trust",91.6,765,208,"2011.04.03"
"Plymouth Hospitals NHS Trust",95.1,1761,494,"2011.04.03"
"Poole Hospital NHS Foundation Trust",98.4,1173,332,"2011.04.03"
"Royal Cornwall Hospitals NHS Trust",89.8,1366,394,"2011.04.03"
"Royal Devon And Exeter NHS Foundation Trust",94.9,1969,504,"2011.04.03"
"Royal United Hospital Bath NHS Trust",95,1409,518,"2011.04.03"
"Salisbury NHS Foundation Trust",96.5,810,226,"2011.04.03"
"South Devon Healthcare NHS Foundation Trust",99.3,1497,458,"2011.04.03"
"Taunton And Somerset NHS Foundation Trust",93.8,1089,261,"2011.04.03"
"The Royal Bournemouth And Christchurch Hospitals NHS Foundation Trust",96.9,946,382,"2011.04.03"
"University Hospitals Bristol NHS Foundation Trust",94.8,2116,585,"2011.04.03"
"Weston Area Health NHS Trust",90.2,988,260,"2011.04.03"
"Yeovil District Hospital NHS Foundation Trust",97.9,888,268,"2011.04.03"
"City Hospitals Sunderland NHS Foundation Trust",92.2,1375,456,"2011.03.20"
"County Durham And Darlington NHS Foundation Trust",98.2,2250,712,"2011.03.20"
"Gateshead Health NHS Foundation Trust",99,1169,285,"2011.03.20"
"North Tees And Hartlepool NHS Foundation Trust",98.8,1990,365,"2011.03.20"
"Northumbria Healthcare NHS Foundation Trust",94.9,2669,948,"2011.03.20"
"South Tees Hospitals NHS Foundation Trust",99.1,2469,533,"2011.03.20"
"South Tyneside NHS Foundation Trust",95.6,1212,317,"2011.03.20"
"The Newcastle Upon Tyne Hospitals NHS Foundation Trust",99,2137,465,"2011.03.20"
"Aintree University Hospitals NHS Foundation Trust",100,1650,505,"2011.03.20"
"Alder Hey Children'S NHS Foundation Trust",95.5,1391,348,"2011.03.20"
"Blackpool, Fylde And Wyre Hospitals NHS Foundation Trust",98.6,1822,402,"2011.03.20"
"Central Manchester University Hospitals NHS Foundation Trust",95,3621,676,"2011.03.20"
"Countess Of Chester Hospital NHS Foundation Trust",97.3,1265,385,"2011.03.20"
"East Cheshire NHS Trust",92.9,920,273,"2011.03.20"
"East Lancashire Hospitals NHS Trust",93.7,1005,699,"2011.03.20"
"Lancashire Teaching Hospitals NHS Foundation Trust",97,2366,484,"2011.03.20"
"Mid Cheshire Hospitals NHS Foundation Trust",96.6,1224,465,"2011.03.20"
"North Cumbria University Hospitals NHS Trust",98.3,1295,310,"2011.03.20"
"Pennine Acute Hospitals NHS Trust",96.4,6039,1388,"2011.03.20"
"Royal Bolton Hospital NHS Foundation Trust",94.7,2061,444,"2011.03.20"
"Royal Liverpool And Broadgreen University Hospitals NHS Trust",98.1,1687,558,"2011.03.20"
"Salford Royal NHS Foundation Trust",95.4,1706,537,"2011.03.20"
"Southport And Ormskirk Hospital NHS Trust",98.3,863,272,"2011.03.20"
"St Helens And Knowsley Hospitals NHS Trust",97.1,1763,671,"2011.03.20"
"Stockport NHS Foundation Trust",97.3,1693,407,"2011.03.20"
"Tameside Hospital NHS Foundation Trust",95.9,1491,385,"2011.03.20"
"Trafford Healthcare NHS Trust",95.2,799,151,"2011.03.20"
"University Hospital Of South Manchester NHS Foundation Trust",95,1705,554,"2011.03.20"
"University Hospitals Of Morecambe Bay NHS Foundation Trust",97.4,1731,409,"2011.03.20"
"Warrington And Halton Hospitals NHS Foundation Trust",90.9,1664,514,"2011.03.20"
"Wirral University Teaching Hospital NHS Foundation Trust",96.1,1808,556,"2011.03.20"
"Wrightington, Wigan And Leigh NHS Foundation Trust",96.5,1889,446,"2011.03.20"
"Airedale NHS Foundation Trust",98,1062,229,"2011.03.20"
"Barnsley Hospital NHS Foundation Trust",97.4,1590,359,"2011.03.20"
"Bradford Teaching Hospitals NHS Foundation Trust",93.5,2601,627,"2011.03.20"
"Calderdale And Huddersfield NHS Foundation Trust",97.6,2740,575,"2011.03.20"
"Doncaster And Bassetlaw Hospitals NHS Foundation Trust",96.7,2701,596,"2011.03.20"
"Harrogate And District NHS Foundation Trust",97.5,829,147,"2011.03.20"
"Hull And East Yorkshire Hospitals NHS Trust",97.1,2390,683,"2011.03.20"
"Leeds Teaching Hospitals NHS Trust",91.7,4011,1543,"2011.03.20"
"Mid Yorkshire Hospitals NHS Trust",96.1,3834,932,"2011.03.20"
"Northern Lincolnshire And Goole Hospitals NHS Foundation Trust",97.4,2193,434,"2011.03.20"
"Scarborough And North East Yorkshire Health Care NHS Trust",97.7,776,202,"2011.03.20"
"Sheffield Children'S NHS Foundation Trust",96.1,1123,127,"2011.03.20"
"Sheffield Teaching Hospitals NHS Foundation Trust",92.9,2070,495,"2011.03.20"
"The Rotherham NHS Foundation Trust",93,1479,346,"2011.03.20"
"York Teaching Hospital NHS Foundation Trust",92.1,1479,314,"2011.03.20"
"Chesterfield Royal Hospital NHS Foundation Trust",98.5,1315,366,"2011.03.20"
"Derby Hospitals NHS Foundation Trust",92.2,2341,666,"2011.03.20"
"Kettering General Hospital NHS Foundation Trust",95,1251,340,"2011.03.20"
"Northampton General Hospital NHS Trust",98.3,1360,355,"2011.03.20"
"Nottingham University Hospitals NHS Trust",91.9,3178,819,"2011.03.20"
"Sherwood Forest Hospitals NHS Foundation Trust",97.3,1741,452,"2011.03.20"
